Gene	Length	Strand	GC
birA	965	forward	49.38
bisC	2333	reverse	54.41
bolA	317	forward	48.43
btuB	1844	forward	50.24
btuC	980	reverse	55.45
btuD	749	reverse	55.2
btuE	551	reverse	49.46
btuR	590	reverse	50.25
cadA	2147	reverse	47.58
cadB	1334	reverse	49.44
cadC	1538	reverse	41.98
carA	1148	forward	53.35
carB	3221	forward	56.27
cca	1238	forward	56.26
cdd	884	forward	54.69
cdh	755	forward	48.68
cdsA	857	forward	50.82
chbB	320	reverse	43.93
chbC	1358	reverse	49.23
chbA	350	reverse	49.86
chbR	842	reverse	41.52
chbF	1352	reverse	46.78
creD	1352	forward	49.59
cheA	1964	reverse	53.13
cheB	1049	reverse	54.29
cheR	860	reverse	54.24
cheW	503	reverse	51.98
cheY	389	reverse	49.23
cheZ	644	reverse	53.49
modC	1058	forward	53.54
moeA	1235	reverse	56.39
moeB	749	reverse	55.2
cirA	1991	reverse	52.76
clpA	2276	forward	52.61
clpB	2573	reverse	51.44
clpP	623	forward	51.12
clpX	1274	forward	51.53
cpdB	1943	reverse	49.49
cpsB	1436	reverse	55.18
cpsG	1370	reverse	55.07
cpxA	1373	reverse	54.59
crp	632	forward	49.45
crr	509	forward	47.25
cspA	212	forward	48.36
cstA	2105	forward	57.22
lnt	1538	reverse	55.69
cvpA	488	reverse	49.08
cyaA	2546	forward	51.94
cybB	530	forward	47.65
cydA	1568	forward	52.9
cydB	1139	forward	53.86
cynS	470	forward	50.53
cynT	659	forward	57.27
cynX	1154	forward	58.7
cyoA	947	reverse	50.95
cyoB	1991	reverse	52.96
cyoC	614	reverse	53.5
cyoD	329	reverse	49.7
cyoE	890	reverse	53.76
cysA	1097	reverse	58.65
cysB	974	forward	48.31
cysC	605	reverse	52.48
cysD	908	reverse	53.03
cysE	821	reverse	53.53
cysG	1373	forward	54.66
cysH	734	reverse	50.75
cysI	1712	reverse	56.04
cysJ	1799	reverse	56.06
cysK	971	forward	50.31
cysM	911	reverse	56.47
cysN	1427	reverse	54.62
cysP	1016	reverse	53.79
cysS	1385	forward	54.47
cysU	833	reverse	56.24
cysW	875	reverse	56.62
cytR	1025	reverse	52.05
dacA	1211	reverse	49.34
dacB	1433	forward	53.14
dacC	1202	forward	51.7
dam	836	reverse	49.58
dapA	878	reverse	51.76
dapB	821	forward	53.41
dapD	824	reverse	53.09
dapE	1127	forward	53.46
dapF	824	forward	55.15
dbpA	1373	forward	51.97
dcm	1418	reverse	52.15
dcp	2045	reverse	49.95
ddlA	1094	reverse	51.05
ddlB	920	forward	51.57
deaD	1889	reverse	55.56
dedA	659	reverse	48.94
accD	914	reverse	55.41
dedD	662	reverse	57.01
deoA	1322	forward	55.18
deoB	1223	forward	54.33
deoC	779	forward	55.38
deoD	719	forward	52.36
deoR	758	reverse	50.72
dgkA	368	forward	51.76
dgt	1517	forward	47.96
dicA	407	forward	43.63
dicB	188	forward	35.98
dicC	230	reverse	46.75
flk	995	forward	52.01
dksA	455	reverse	52.63
dld	1715	forward	52.21
dmsA	2444	forward	52.72
dmsB	617	forward	51.78
dmsC	863	forward	54.63
dnaA	1403	reverse	54.06
dnaB	1415	forward	53.81
dnaC	737	reverse	50.54
dnaE	3482	forward	54.95
dnaG	1745	forward	52.29
dnaJ	1130	forward	55.17
dnaK	1916	forward	51.12
dnaN	1100	reverse	54.22
dnaQ	731	forward	50.14
dnaT	539	reverse	57.04
dnaX	1931	forward	57.66
mltD	1358	reverse	51.95
acpS	380	reverse	51.44
dppA	1607	reverse	51.55
dsdA	1328	forward	50.87
dsdX	1337	forward	48.73
dut	458	forward	54.47
ebgA	3092	forward	54.54
ebgC	449	forward	45.56
ebgR	983	forward	51.73
eco	488	forward	49.49
eda	641	reverse	56.23
edd	1811	reverse	53.64
eno	1298	reverse	50.35
entA	746	forward	57.97
entB	857	forward	55.36
entC	1175	forward	56.46
entD	620	reverse	47.5
entE	1610	forward	56.05
entF	3881	forward	56.54
lpxC	917	forward	51.09
acrE	1157	forward	52.07
acrF	3104	forward	51.53
envY	761	reverse	46.33
envZ	1352	reverse	57.06
era	905	reverse	52.32
exbB	734	reverse	53.06
exbD	425	reverse	50.23
fabA	518	reverse	53.18
fabB	1220	reverse	56.59
accB	470	forward	51.8
accC	1349	forward	53.41
fabH	953	forward	54.72
fadA	1163	reverse	57.73
fadB	2189	reverse	55.21
fadL	1340	forward	49.81
fadR	719	forward	51.25
fbaA	1079	reverse	51.11
fbp	998	reverse	51.45
fdhE	929	reverse	54.62
fdhF	2147	reverse	54.38
fecA	2324	reverse	58.54
fecB	902	reverse	57.7
fecC	998	reverse	60.66
fecD	956	reverse	59.77
fecE	767	reverse	54.04
fecI	521	reverse	54.6
fecR	953	reverse	59.01
fepA	2240	reverse	54.08
fepB	956	reverse	55.07
fepC	815	reverse	53.92
fepD	1004	reverse	61
fepE	1133	forward	44.97
fepG	992	reverse	58.21
fes	1202	forward	54.95
ffh	1361	reverse	54.19
fhlA	2078	forward	52.57
fhuA	2243	forward	51.25
fhuB	1982	forward	59.76
fhuC	797	forward	56.89
fhuD	890	forward	54.66
fhuE	2189	reverse	50
fic	602	reverse	53.07
fimA	548	forward	51.73
fimB	602	forward	43.45
fimC	725	forward	44.49
fimD	2636	forward	48.62
fimE	596	forward	46.9
fimF	530	forward	49.53
fimG	503	forward	52.38
fimH	902	forward	50.17
lpxD	1025	forward	52.83
fis	296	forward	47.14
fldA	530	reverse	48.96
flhC	578	reverse	49.05
flhD	350	reverse	46.44
fliC	1496	reverse	47.49
fliL	464	forward	53.33
fliM	1004	forward	53.33
fliN	413	forward	55.07
fnr	752	reverse	51.66
folA	479	forward	52.71
folC	1268	reverse	56.03
folD	866	reverse	54.33
mutM	809	reverse	53.83
frdA	1808	reverse	56.38
frdB	734	reverse	53.61
frdC	395	reverse	49.24
frdD	359	reverse	54.44
fre	701	forward	52.85
frr	557	forward	50.9
fruA	1691	reverse	55.73
fruK	938	reverse	53.46
cra	1004	forward	54.93
ftsA	1262	forward	52.1
ftsE	668	reverse	56.35
ftsI	1766	forward	53.99
ftsQ	830	forward	53.31
rsmD	596	forward	53.94
ftsW	1244	forward	53.01
ftsX	1058	reverse	53.07
ftsY	1493	reverse	53.48
ftsZ	1151	forward	54.17
fucA	647	reverse	49.07
fucI	1775	forward	54.5
fucK	1418	forward	51.09
fucO	1148	reverse	53.52
fucP	1316	forward	47.68
fucR	731	forward	48.22
fucU	422	forward	48.94
fumA	1646	reverse	51.55
fumB	1646	reverse	54.64
fumC	1403	reverse	53.77
fur	446	reverse	47.87
fusA	2114	reverse	50.83
gabT	1280	forward	59.33
galE	1016	reverse	54.38
galK	1148	reverse	52.92
galR	1031	forward	52.71
galS	1040	reverse	52.45
galT	1046	reverse	55.78
gapA	995	forward	50
epd	1019	reverse	51.47
gcd	2390	reverse	55.42
ispG	1118	reverse	53.26
gcvH	389	reverse	52.56
gdhA	1343	forward	53.27
mokC	209	reverse	51.43
ggt	1742	reverse	55.02
mnmG	1889	reverse	54.39
rsmG	623	reverse	48.72
glgA	1433	reverse	54.95
glgB	2186	reverse	53.27
glgC	1295	reverse	52.62
glgP	2447	reverse	50.98
glgX	1973	reverse	54.36
glmS	1829	reverse	53.55
glnA	1409	reverse	52.91
glnB	338	reverse	51.03
glnG	1409	reverse	56.95
glnH	746	reverse	48.73
glnL	1049	reverse	55.24
glnP	659	reverse	53.48
glnQ	722	reverse	53.94
glnS	1664	forward	52.49
glpA	1628	forward	57.34
glpB	1259	forward	55.87
glpC	1190	forward	53.99
glpD	1505	forward	55.05
glpE	326	reverse	53.52
glpF	845	reverse	50.95
glpG	830	reverse	54.15
glpK	1508	reverse	54.08
glpQ	1076	reverse	45.59
glpR	757	reverse	54.62
glpT	1358	reverse	52.61
gltA	1283	reverse	50.7
gltB	4460	forward	56.89
gltD	1418	forward	56.17
gltP	1313	forward	53.27
gltS	1205	reverse	53.65
gltX	1415	reverse	52.54
glyA	1253	reverse	53.35
glyQ	911	reverse	56.14
glyS	2069	reverse	55.41
gnd	1406	reverse	50.18
gor	1352	forward	53.81
gpp	1484	reverse	53.67
gpt	458	forward	51.85
greA	476	reverse	48.43
grpE	593	reverse	50.34
grxA	257	reverse	44.96
gshA	1556	reverse	51.32
gshB	950	forward	53.42
guaA	1577	reverse	54.12
guaB	1466	reverse	54.67
guaC	1043	forward	51.34
gyrA	2627	reverse	54
gyrB	2414	reverse	54.99
hdhA	767	reverse	47.27
helD	2054	forward	53.04
hemA	1256	forward	54.34
hemB	974	reverse	53.95
hemC	941	reverse	56.16
hemD	740	reverse	52.9
hemH	962	forward	53.89
hemL	1280	reverse	55.5
hemX	1181	reverse	53.38
hemY	1196	reverse	54.97
hflC	1004	forward	53.03
hflK	1259	forward	56.19
hflX	1280	forward	53.86
hfq	308	forward	48.87
hha	218	reverse	40.64
ihfA	299	reverse	50
ihfB	284	forward	49.12
hipB	266	reverse	44.57
hipA	1322	reverse	48.07
hisA	737	forward	57.18
hisB	1067	forward	53.37
hisC	1070	forward	55.37
hisD	1304	forward	58.08
hisF	776	forward	51.87
hisG	899	forward	54.11
hisH	590	forward	56.68
hisI	611	forward	54.58
hisP	773	reverse	51.94
hisS	1274	reverse	54.75
truA	812	reverse	55.35
skp	485	forward	50.21
hmp	1190	forward	52.48
hns	413	reverse	46.62
hsdM	1589	reverse	54.84
hsdR	3512	reverse	53.91
hsdS	1394	reverse	40.43
htpG	1874	forward	52.85
htpX	881	reverse	53.51
degP	1424	forward	53.96
lpxL	920	reverse	52.99
ribB	653	reverse	51.83
hupA	272	forward	48.35
hupB	272	forward	49.08
hyaA	1118	forward	56.12
hyaB	1793	forward	56.52
hyaC	707	forward	51.84
hyaD	587	forward	58.84
hyaE	398	forward	56.64
hyaF	857	forward	54.9
hycA	461	reverse	50.22
hycB	611	reverse	57.35
hycC	1826	reverse	58.18
hycD	923	reverse	58.44
hycE	1709	reverse	56.9
hycF	542	reverse	55.62
hycG	767	reverse	56.38
hycH	410	reverse	52.8
zraR	1325	forward	56.26
hypA	350	forward	52.99
hypB	872	forward	55.21
hypC	272	forward	55.31
hypD	1121	forward	55.44
hypE	1010	forward	57.27
iap	1037	forward	49.33
icd	1250	forward	50.2
argP	893	forward	54.36
iclR	824	reverse	54.18
ileS	2816	forward	55.77
ilvA	1544	forward	58.77
ilvB	1688	reverse	56.31
ilvC	1475	forward	53.79
ilvD	1850	forward	56.35
ilvE	929	forward	54.95
ilvH	491	forward	50.2
ilvI	1724	forward	52.93
ilvM	263	forward	49.24
ilvN	290	reverse	48.45
ilvY	893	reverse	57.61
infA	218	reverse	48.4
infB	2672	reverse	53.42
infC	542	reverse	48.62
intD	1163	reverse	46.91
ispA	899	reverse	54.22
katE	2261	forward	52.08
rpoS	992	reverse	52.06
katG	2180	forward	55.75
kbl	1196	reverse	54.22
kdpA	1673	reverse	55.5
kdpB	2048	reverse	56.22
kdpC	572	reverse	53.58
kdpD	2684	reverse	57.58
kdpE	677	reverse	56.64
kdsA	854	forward	51.58
kdsB	746	forward	52.74
waaA	1277	forward	53.91
kefC	1862	forward	55.5
kgtP	1298	reverse	48.73
rsmA	821	reverse	53.04
lacA	611	reverse	42.81
lacI	1082	reverse	56.33
lacY	1253	reverse	46.33
lacZ	3074	reverse	56.26
lamB	1340	forward	51.68
lepA	1799	reverse	53.72
lepB	974	reverse	52
leuO	944	forward	45.71
leuS	2582	reverse	53.35
lexA	608	forward	51.89
ligA	2015	reverse	54.41
lit	893	forward	36.8
livF	713	reverse	56.72
livG	767	reverse	55.21
livH	926	reverse	56.2
livJ	1103	reverse	54.44
livK	1109	reverse	54.14
livM	1277	reverse	56.57
lon	2354	forward	52.31
lpd	1424	forward	53.05
lpp	236	forward	50.63
lpxA	788	forward	53.11
lpxB	1148	forward	53.79
lrp	494	forward	47.88
lspA	494	forward	53.54
lysA	1262	reverse	53.05
lysC	1349	reverse	53.85
lysR	935	forward	53.42
lysS	1517	reverse	53.1
lysU	1517	reverse	47.43
malE	1190	reverse	51.05
malF	1544	reverse	53.27
malG	890	reverse	54.55
malI	1028	reverse	53.94
malK	1115	forward	54.84
malM	920	forward	53.42
malP	2393	reverse	52.3
malQ	2084	reverse	55.16
malT	2705	forward	54.1
malX	1592	forward	52.73
malY	1172	forward	50.98
malZ	1814	forward	54.6
manA	1175	forward	50.77
manX	971	forward	50.31
manY	800	forward	51.56
manZ	851	forward	52.7
map	794	reverse	50.44
mazE	248	reverse	48.59
mazG	791	reverse	50.76
mcrA	833	forward	38.37
mcrB	1379	reverse	40.36
mcrC	1046	reverse	37.44
mdh	938	reverse	52.29
melA	1355	forward	52.43
melB	1421	forward	45.85
menD	1670	reverse	58.11
mepA	824	reverse	55.39
metA	929	forward	50
metB	1160	forward	54.95
metC	1187	forward	51.01
metE	2261	forward	56.23
metF	890	forward	51.85
metG	2033	forward	53.05
metH	3683	forward	55.84
metJ	317	reverse	51.89
metK	1154	forward	53.25
metL	2432	forward	58.32
metR	953	reverse	56.29
mglA	1520	reverse	45.36
mglB	998	reverse	51.05
mglC	1010	reverse	50.25
miaA	950	forward	53.42
minC	695	reverse	51.01
minD	812	reverse	49.94
minE	266	reverse	43.45
groL	1646	forward	52.88
groS	293	forward	48.64
motA	887	reverse	51.35
motB	926	reverse	53.18
mprA	530	forward	49.15
mraY	1082	forward	53.37
mrcB	2534	forward	55.15
mrdA	1901	reverse	52.52
mrdB	1112	reverse	52.02
mreB	1043	reverse	54.31
mreC	1103	reverse	55.98
mreD	488	reverse	51.33
mrp	1109	reverse	53.96
mrr	914	forward	50.6
msbA	1748	forward	50.89
lpxM	971	reverse	51.54
mtlA	1913	forward	53.87
mtlD	1148	forward	52.39
mtr	1244	reverse	53.09
mukB	4460	forward	55.66
murC	1475	forward	54.74
murD	1316	forward	54.9
murE	1487	forward	56.59
murF	1358	forward	55.11
murG	1067	forward	56.09
mutH	689	forward	53.62
mutS	2561	forward	56.13
mutT	389	forward	49.23
mutY	1052	forward	55.18
fpr	746	reverse	53.55
emrE	332	forward	41.14
nadA	1043	forward	50.19
nadB	1622	forward	53.17
nagA	1148	reverse	51.78
nagB	800	reverse	48.81
umpH	752	reverse	52.99
nagE	1946	forward	54.75
nagC	1220	reverse	52.99
nanA	893	reverse	52.01
narG	3743	forward	54.94
narH	1538	forward	53.74
narI	677	forward	55.9
narJ	710	forward	56.4
narK	1391	forward	53.66
narL	650	reverse	51.77
narV	680	reverse	52.72
narW	695	reverse	56.32
narX	1796	reverse	53.37
narY	1544	reverse	54.3
narZ	3740	reverse	55.04
ndh	1304	forward	52.95
ndk	431	reverse	52.31
nfo	857	forward	52.45
nhaA	1166	forward	51.41
nirB	2543	forward	54.28
nirC	806	forward	54.89
nirD	326	forward	55.96
sfsB	278	forward	50.18
nlpA	818	reverse	47.37
bamC	1034	reverse	55.46
nmpC	0		44.17
nrdA	2285	forward	53.67
nrdB	1130	forward	50.57
nth	635	forward	49.21
nadE	827	forward	49.52
nupG	1256	forward	49.72
nusA	1487	reverse	52.76
nusB	419	forward	53.81
nusG	545	forward	51.65
ogt	515	reverse	53.1
ompA	1040	reverse	53.79
ompC	1103	reverse	50.63
ompF	1088	reverse	47.75
ompR	719	reverse	55.14
ompT	953	reverse	43.4
oppA	1631	forward	47.73
oppB	920	forward	45.71
oppC	908	forward	52.37
oppD	1013	forward	51.78
oppF	1004	forward	51.54
osmB	218	reverse	52.05
osmC	431	forward	50
oxyR	917	forward	55.45
pabA	563	reverse	53.37
pabB	1361	forward	50.95
pal	521	forward	51.34
panF	1451	forward	54.34
parC	2258	reverse	54.67
parE	1892	reverse	53.57
pck	1622	forward	53.6
pcm	626	reverse	53.43
pcnB	1397	reverse	55.87
pdxA	989	reverse	56.36
pdxJ	731	reverse	56.42
pepA	1511	reverse	55.29
pepD	1457	reverse	51.37
pepN	2612	forward	53.46
pepP	1325	reverse	53.54
pepQ	1331	forward	53.68
pfkA	962	forward	53.48
pfkB	929	forward	54.09
pflB	2282	reverse	51.2
pgi	1649	forward	51.33
pgk	1163	reverse	52.32
pgpA	518	forward	53.18
pgpB	764	forward	50.59
pgsA	548	reverse	52.46
pheA	1160	forward	49.18
pheP	1376	forward	52.51
pheS	983	reverse	53.86
pheT	2387	reverse	54.36
yjdM	335	reverse	46.43
yjdN	443	reverse	51.58
phnC	788	reverse	58.56
phnD	1016	reverse	55.46
phnF	725	reverse	61.85
phnG	452	reverse	62.69
phnH	584	reverse	60.85
phnI	1064	reverse	62.63
phnJ	845	reverse	58.27
phnK	758	reverse	61.4
phnL	680	reverse	60.21
phnM	1136	reverse	61.3
phnN	557	reverse	60.22
phnO	434	reverse	57.93
phnP	758	reverse	59.29
phoA	1415	forward	53.39
phoB	689	forward	54.49
phoE	1055	reverse	44.7
creC	1424	forward	53.89
phoP	671	reverse	47.77
phoQ	1460	reverse	51.33
phoR	1295	forward	53.01
pstS	1040	reverse	51.49
phoU	725	reverse	52.62
phr	1418	forward	53.49
pinE	554	forward	48.83
pldA	869	forward	51.26
pldB	1022	forward	53.76
plsB	2423	reverse	55.16
pmbA	1352	forward	54.25
pncB	1202	reverse	51.21
pnp	2135	reverse	54.07
pntA	1532	reverse	52.45
pntB	1388	reverse	52.63
polA	2786	forward	51.96
polB	2351	reverse	55.36
mrcA	2552	forward	55.54
potA	1136	reverse	50.84
potB	827	reverse	50.85
potC	794	reverse	50.19
potD	1046	reverse	50.81
potE	1319	reverse	50.61
poxB	1718	reverse	54.04
ppa	530	reverse	51.22
ppc	2651	reverse	55.66
ppiA	572	reverse	51.13
ppiB	494	reverse	47.88
ppsA	2378	reverse	54.64
prc	2048	reverse	50.37
prfA	1082	forward	53
prfB	1098	reverse	53.5
priA	2198	reverse	57.48
priB	314	forward	52.38
priC	527	reverse	58.9
secY	1331	reverse	49.7
proA	1253	forward	54.31
proB	1103	forward	56.25
proC	809	reverse	54.57
proS	1718	reverse	54.51
proV	1202	forward	49.04
proW	1064	forward	58.12
proX	992	forward	52.57
prs	947	reverse	52.53
psd	968	reverse	53.46
pspA	668	forward	49.33
pspB	224	forward	47.56
pspC	359	forward	50.28
pspD	221	forward	54.5
pspE	314	forward	50.79
pssA	1355	forward	48.89
pstA	890	reverse	56.23
pstB	773	reverse	52.33
pstC	959	reverse	54.69
pth	584	reverse	49.74
ptrA	2888	reverse	51.16
ptsG	1433	forward	52.65
ptsH	257	forward	50.78
ptsI	1727	forward	49.65
purA	1298	forward	53.89
purC	713	reverse	52.24
purD	1289	reverse	58.22
purE	509	reverse	59.02
purF	1517	reverse	52.9
purH	1589	reverse	56.29
purK	1067	reverse	56.46
purL	3887	reverse	56.89
purM	1037	forward	52.89
purN	638	forward	53.68
purR	1025	forward	53.8
putA	3962	reverse	56.98
putP	1508	forward	53.68
pykA	1442	forward	52.81
pykF	1412	forward	49.89
pyrB	935	reverse	53.74
pyrC	1046	reverse	53.1
pyrD	1010	forward	46.98
pyrE	641	reverse	53.12
pyrF	737	forward	52.98
pyrG	1637	reverse	51.89
pyrI	461	reverse	48.48
queA	1070	forward	54.15
racC	275	reverse	39.13
rbsA	1505	forward	51.2
rbsB	890	forward	52.86
rbsC	965	forward	53.42
rbsD	419	forward	47.62
rbsK	929	forward	51.94
rbsR	992	forward	50.65
rcsA	623	forward	38.14
rcsB	650	forward	47.77
rcsC	2849	reverse	50.91
recA	1061	reverse	54.14
recB	3542	reverse	54.56
recC	3368	reverse	53.61
recD	1826	reverse	55.28
recE	2600	reverse	49.4
recF	1073	reverse	55.03
recG	2081	forward	57.2
recJ	1733	reverse	56.63
recN	1661	forward	51.81
recO	728	reverse	54.05
recQ	1829	forward	55.14
recR	605	forward	57.76
relA	2234	reverse	53.78
relB	239	reverse	47.08
rep	2021	forward	53.46
rfaD	932	forward	50.91
rfaH	488	reverse	49.69
rfe	1103	forward	49.46
fliD	1406	forward	52.24
rhaR	848	forward	50.18
rhaS	836	forward	51.85
rhlB	1265	reverse	52.53
rho	1259	forward	50.32
rhsA	4133	forward	59.53
rhsB	4235	forward	58.81
rhsC	4193	forward	59.16
rhsD	4280	forward	60.13
rimI	446	forward	52.35
rimJ	584	forward	49.4
rimK	902	forward	56.26
rimL	539	forward	43.33
rlpA	1088	reverse	57.3
lptE	581	reverse	52.23
rna	806	reverse	51.18
rnc	680	reverse	50.66
rnd	1127	reverse	54.08
rne	3185	reverse	55.65
rnhA	467	reverse	50.43
rnhB	596	forward	57.29
rnpA	359	forward	55.83
rph	686	reverse	56.19
rplA	704	forward	51.63
rplB	821	reverse	52.68
rplC	629	reverse	51.43
rplD	605	reverse	52.97
rplE	539	reverse	49.81
rplF	533	reverse	52.06
rplI	449	forward	49.78
rplJ	497	forward	52.41
rplK	428	forward	52.21
rplL	365	forward	46.17
rplM	428	reverse	50.58
rplN	371	reverse	51.08
rplO	434	reverse	53.56
rplP	410	reverse	51.82
rplQ	383	reverse	53.65
rplR	353	reverse	53.67
rplS	347	reverse	48.28
rplT	356	reverse	48.18
rplV	332	reverse	49.85
rplW	302	reverse	48.18
rplX	314	reverse	46.03
rplY	284	forward	50.53
rpmB	236	reverse	53.16
rpmC	191	reverse	54.17
rpmD	179	reverse	50
rpmE	212	forward	49.3
rpmF	173	forward	54.02
rpmG	167	reverse	40.48
rpmH	140	forward	51.77
rpoA	989	reverse	52.22
rpoB	4028	forward	52.62
rpoC	4223	forward	53.84
rpoD	1841	forward	52.99
rpoH	854	reverse	54.15
rpoN	1433	forward	52.86
rpoZ	275	forward	53.26
rpsA	1673	forward	51.19
rpsB	725	forward	51.38
rpsC	701	reverse	51
rpsD	620	reverse	50.72
rpsE	503	reverse	50.2
rpsF	395	forward	52.53
rpsG	539	reverse	50.19
rpsH	392	reverse	50.13
rpsI	392	reverse	52.42
rpsJ	311	reverse	55.45
rpsK	389	reverse	51.54
rpsL	374	reverse	53.33
rpsM	356	reverse	51.82
rpsN	305	reverse	52.61
rpsO	269	reverse	51.85
rpsP	248	reverse	51.41
rpsQ	254	reverse	47.45
rpsR	227	forward	52.63
rpsS	278	reverse	48.75
rpsT	263	reverse	46.59
rpsU	215	forward	51.85
ftnA	497	forward	42.77
coaA	950	reverse	44.06
ruvC	521	reverse	55.94
sbcB	1427	forward	50.07
sbcC	3146	reverse	53.8
sbmA	1220	forward	51.35
sbp	989	forward	50.61
sdaA	1364	forward	53.99
sdhA	1766	forward	56.31
sdhB	716	forward	51.6
sdhC	389	forward	49.23
sdhD	347	forward	51.15
sdiA	722	reverse	46.75
secA	2705	forward	52.4
secB	467	reverse	50.85
secD	1847	forward	53.19
secE	383	forward	54.95
secF	971	forward	51.65
selA	1391	reverse	56.03
selB	1844	reverse	56.37
selD	1043	reverse	54.98
serA	1232	reverse	52.96
serB	968	forward	56.66
serC	1088	forward	50.14
serS	1292	forward	52.67
maeA	1697	reverse	52
sfsA	704	reverse	49.36
slt	1937	forward	54.54
ytjB	644	reverse	55.66
bamE	341	forward	49.42
sodA	620	forward	53.3
sodB	581	forward	50.17
prlF	335	forward	47.62
sohB	1049	forward	50.57
soxR	464	forward	52.04
soxS	323	reverse	50.93
speA	1976	reverse	54.27
speB	920	reverse	54.61
speC	2135	reverse	52.2
speD	794	reverse	46.16
speE	866	reverse	50.75
speF	2198	reverse	49.34
gmk	623	forward	49.04
spoT	2108	forward	53.72
trmH	689	forward	55.36
sppA	1856	forward	51.75
srlE	959	forward	54.69
srlB	371	forward	55.11
srlD	779	forward	53.33
gutM	359	forward	55
gutQ	965	forward	57.35
srlR	773	forward	48.84
srmB	1334	forward	54.76
ssb	536	forward	58.1
sspA	638	reverse	53.68
sspB	497	reverse	55.22
sucA	2801	forward	55.67
sucB	1217	forward	55.91
sucC	1166	forward	54.33
sucD	869	forward	53.79
suhB	803	forward	54.48
sulA	509	reverse	48.24
surA	1286	reverse	53.85
tag	563	forward	49.82
tap	1601	reverse	53.56
tar	1661	reverse	52.77
tdcA	938	reverse	42.17
tdcB	989	reverse	46.36
tdcC	1331	reverse	49.85
tdcR	218	forward	28.77
tdh	1025	reverse	51.46
tdk	617	forward	42.23
tesB	860	reverse	52.5
tgt	1127	forward	51.33
mnmE	1364	forward	56.34
thrA	2462	forward	53.07
thrB	932	forward	56.27
thrC	1286	forward	52.84
thrS	1928	reverse	49.56
thyA	794	reverse	51.07
tig	1298	forward	51.19
ptrB	2060	reverse	49.83
tnaA	1415	forward	50.85
tnaB	1247	forward	46.47
tolA	1265	forward	52.29
tolB	1292	forward	53.13
